# Time-averaged data for fix energy
# TimeStep v_k v_e v_t v_T
23050 149.478 -6246.96 -6097.48 694.959
23100 151.768 -6246.11 -6094.35 705.608
23150 150.47 -6244.67 -6094.2 699.572
23200 150.004 -6243.1 -6093.1 697.407
23250 150.99 -6246.03 -6095.04 701.989
23300 151.386 -6247.28 -6095.9 703.828
23350 149.922 -6244.95 -6095.02 697.024
23400 154.279 -6247.06 -6092.79 717.28
23450 153.266 -6247.45 -6094.18 712.569
23500 154.187 -6248.11 -6093.92 716.851
23550 152.454 -6250.15 -6097.7 708.794
23600 150.777 -6245.82 -6095.04 701.001
23650 151.897 -6247.8 -6095.91 706.205
23700 151.976 -6247.3 -6095.32 706.574
23750 152.438 -6248.19 -6095.75 708.719
23800 150.02 -6244.53 -6094.51 697.478
23850 151.006 -6245.51 -6094.51 702.063
23900 150.531 -6245.43 -6094.9 699.855
23950 150.67 -6246.79 -6096.12 700.5
24000 152.504 -6245.72 -6093.22 709.03
24050 152.127 -6248.03 -6095.9 707.275
24100 153.611 -6245.66 -6092.05 714.173
24150 153.606 -6248.91 -6095.3 714.149
24200 151.848 -6248.3 -6096.46 705.979
24250 151.85 -6246.98 -6095.13 705.987
24300 153.563 -6250.43 -6096.87 713.952
24350 153.947 -6248.26 -6094.31 715.738
24400 151.769 -6247.28 -6095.51 705.611
24450 150.177 -6242.54 -6092.36 698.207
24500 152.586 -6245.8 -6093.21 709.408
24550 150.625 -6243.23 -6092.6 700.29
24600 151.655 -6244.91 -6093.25 705.08
24650 150.982 -6246.53 -6095.55 701.954
24700 151.315 -6246.06 -6094.74 703.502
24750 150.942 -6245.3 -6094.36 701.764
24800 151.947 -6249.19 -6097.24 706.437
24850 151.514 -6246.66 -6095.15 704.426
24900 155.088 -6249.52 -6094.44 721.04
24950 155.055 -6248.14 -6093.08 720.889
25000 153.56 -6243.42 -6089.86 713.94
25050 154.112 -6246.4 -6092.29 716.505
25100 152.719 -6243.14 -6090.42 710.028
25150 151.758 -6243.02 -6091.26 705.558
25200 152.855 -6241.22 -6088.36 710.657
25250 151.736 -6238.77 -6087.04 705.456
25300 153.407 -6241.72 -6088.31 713.227
25350 152.627 -6240.64 -6088.01 709.601
25400 154.362 -6241.67 -6087.3 717.665
25450 155.818 -6245.07 -6089.26 724.434
25500 154.58 -6246.4 -6091.82 718.68
25550 153.621 -6245.43 -6091.81 714.22
25600 155.212 -6248.3 -6093.09 721.617
25650 153.44 -6247.87 -6094.43 713.381
25700 155.021 -6248.33 -6093.31 720.728
25750 154.724 -6246.48 -6091.76 719.349
25800 153.336 -6245.36 -6092.02 712.895
25850 152.747 -6243.87 -6091.12 710.158
25900 154.226 -6245.66 -6091.43 717.033
25950 151.619 -6243.4 -6091.78 704.911
26000 150.987 -6244.13 -6093.14 701.975
26050 151.181 -6243.55 -6092.37 702.878
26100 152.147 -6247.93 -6095.79 707.369
26150 149.924 -6245.05 -6095.13 697.033
26200 151.32 -6247.39 -6096.07 703.522
26250 151.607 -6248.77 -6097.17 704.855
26300 153.52 -6248.45 -6094.93 713.75
26350 154.74 -6245.78 -6091.04 719.424
26400 155.879 -6249.36 -6093.48 724.717
26450 152.627 -6246.6 -6093.98 709.6
26500 152.368 -6244.4 -6092.03 708.397
26550 153.611 -6245.29 -6091.68 714.172
26600 151.656 -6243.95 -6092.29 705.087
26650 150.021 -6243.76 -6093.73 697.483
26700 152.409 -6242.41 -6090 708.586
26750 152.662 -6242.55 -6089.89 709.763
26800 154.892 -6242.8 -6087.91 720.13
26850 153.63 -6243.6 -6089.97 714.264
26900 153.764 -6245.53 -6091.77 714.884
26950 154.85 -6246.49 -6091.64 719.934
27000 153.641 -6245.3 -6091.66 714.314
27050 155.699 -6247.28 -6091.58 723.88
27100 153.506 -6242.84 -6089.33 713.686
27150 155.855 -6245.48 -6089.63 724.608
27200 155.649 -6241.06 -6085.42 723.649
27250 157.483 -6240.27 -6082.78 732.178
27300 157.473 -6238.79 -6081.31 732.132
27350 154.967 -6239.34 -6084.37 720.48
27400 154.959 -6238.88 -6083.92 720.441
27450 153.697 -6237.59 -6083.89 714.574
27500 156.761 -6238.22 -6081.46 728.82
27550 158.095 -6239.74 -6081.64 735.021
27600 155.972 -6241.74 -6085.77 725.152
27650 157.144 -6240.55 -6083.41 730.603
27700 157.631 -6242.15 -6084.51 732.866
27750 157.978 -6241.26 -6083.28 734.477
27800 156.523 -6239.99 -6083.47 727.712
